recipient_name,recipient_county_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,SAN DIEGO,2008,CA-52,825.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,SAN DIEGO,2008,CA-52,-11500.0
AMRON INTERNATIONAL INC,SAN DIEGO,2008,CA-49,5090.0
"BECKMAN COULTER, INC.",ORANGE,2008,CA-45,12238.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,,2008,CA-90,1464459.0
"AGILENT TECHNOLOGIES, INC.",SANTA CLARA,2008,CA-17,112446.79
NATIONAL STEEL AND SHIPBUILDING COMPANY,,2008,CA-90,-510200.0
THE BOEING COMPANY,ORANGE,2008,CA-40,249222.0
"LEIDOS, INC.",SAN DIEGO,2008,CA-50,148727.0
"LEIDOS, INC.",SAN DIEGO,2008,CA-50,0.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,,2008,CA-90,496676.0
NATIONAL STEEL AND SHIPBUILDING COMPANY,,2008,CA-90,475121.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,SAN DIEGO,2008,CA-52,7532.0
RAPISCAN SYSTEMS INC,LOS ANGELES,2008,CA-43,4133.0
RANTEC POWER SYSTEMS INC.,SAN LUIS OBISPO,2008,CA-24,26596.0
AARDVARK,LOS ANGELES,2008,CA-31,22657.6
KING NUTRONICS CORPORATION,LOS ANGELES,2008,CA-32,77343.0
"COMTECH SATELLITE NETWORK TECHNOLOGIES, INC.",,2008,CA-17,0.0
TREX ENTERPRISES CORPORATION,,2008,CA-90,339951.0
LOCKHEED MARTIN CORPORATION,,2008,CA-17,0.0
GRISWOLD INDUSTRIES,ORANGE,2008,CA-47,375.0
"EDO RECONNAISSANCE AND SURVEILLANCE SYSTEMS, INC.",,2008,CA-90,70154.0
"GEAR MANUFACTURING, INC.",,2008,CA-46,0.0
ROCKWELL COLLINS INC,,2008,CA-08,0.0
INTERSTATE ELECTRONICS CORPORATION,SAN DIEGO,2008,CA-50,64080.0
BLUE TECH INC.,SAN DIEGO,2008,CA-50,10600.0
"ANACAPA MICRO PRODUCTS, INC.",VENTURA,2008,CA-24,8281.0
JONATHAN ENGINEERED SOLUTIONS CORP.,ORANGE,2008,CA-47,52810.88
AIR & GAS TECH INC,SAN DIEGO,2008,CA-52,25000.0
L3HARRIS INTERSTATE ELECTRONICS CORPORATION,,2008,CA-46,0.0
"TORREY PINES LOGIC, INC.",,2008,CA-90,84886.0
"QUEST INTERNATIONAL MONITOR SERVICE, INC.",,2008,CA-47,0.0
AIR & GAS TECH INC,SAN DIEGO,2008,CA-52,25000.0
"ASL WORKSTATIONS, INC",,2008,CA-90,6009.0
SPECOM,,2008,CA-90,0.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,LOS ANGELES,2008,CA-32,243116.0
"LEIDOS, INC.",SAN DIEGO,2008,CA-90,1023241.01
BLACKSTONE TECHNOLOGY GROUP,SAN FRANCISCO,2008,CA-11,0.0
VALIANT GLOBAL DEFENSE SERVICES INC,,2008,CA-90,200000.0
"L-3 SERVICES, INC.",SAN DIEGO,2008,CA-50,0.0
"EDO RECONNAISSANCE AND SURVEILLANCE SYSTEMS, INC.",,2008,CA-90,46758.0
ARMTEC DEFENSE PRODUCTS CO.,,2008,CA-25,0.0
